idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/EisenbergM02,wgK6p4mDSIMJ,2,63690,2_63690
conf/vldb/AmmannJR95,x-H7BqZ0Hw8J,3,21171,3_21171
conf/vldb/SubietaKL95,gEFY87Ma0XUJ,7,38991,7_38991
journals/sigmod/BargaL02,QTzV3iNq2O8J,8,40746,8_40746
conf/vldb/ChaudhuriGS95,77Sb5mlyASgJ,12,46614,12_46614
journals/sigmod/Kosch02,_avm808LQocJ,13,27627,13_27627
conf/vldb/TreschPL95,1rPUqMFsS3AJ,16,3179,16_3179
conf/vldb/SrikantA95,Ve-JH2yNN0kJ,20,5058,20_5058
journals/sigmod/Aberer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,22,6685,22_6685
conf/vldb/FlodinR95,WmtiDGY_BdoJ,23,36538,23_36538
conf/vldb/LuSL95,h7_7SZrI7M0J,27,49913,27_49913
conf/vldb/Wang95,7FUOWtSbiogJ,33,61219,33_61219
journals/sigmod/HalkidiBV02,GHjgDrEbqM4J,38,11886,38_11886
journals/sigmod/PourabbasR02,QyNfyYDySawJ,39,60341,39_60341
conf/vldb/BrownS95,F-v-VG2RBQoJ,42,2163,42_2163
conf/vldb/LeslieJBY95,zmwPMSd8rGgJ,44,63634,44_63634
journals/sigmod/Wiegand02,RAcoVQuEzD8J,49,61163,49_61163
journals/sigmod/OrlandicLS02,eLf0eStn5G4J,51,36934,51_36934
journals/sigmod/Fagin02,C3swZi1md5YJ,55,51445,55_51445
conf/vldb/BestavrosB95,lGyhpsPV6ogJ,59,39873,59_39873
conf/vldb/MogiK95,39DBh8H18iEJ,63,22768,63_22768
journals/sigmod/YaoG02,ARLe7W8EvDoJ,67,14320,67_14320
journals/sigmod/Neven02,xAXF0HSF4h8J,74,12937,74_12937
conf/vldb/FrohnLU94,xpreqF8k7N4J,81,25609,81_25609
conf/vldb/KemperK94,qUfWV4VVxegJ,87,48632,87_48632
journals/sigmod/LightstoneLZ02,7TYVQTwq9FIJ,92,15950,92_15950
conf/vldb/BaralisW94,q-td2YANr18J,94,7258,94_7258
conf/vldb/AgrawalS94,P0age7qyZacJ,96,7823,96_7823
conf/vldb/EvangelidisLS95,EbGZKQPyH_4J,102,21911,102_21911
journals/sigmod/FininJ02,rg8576nvnkUJ,106,53955,106_53955
conf/vldb/Brin95,dXegp-RmzXEJ,108,29303,108_29303
conf/vldb/Vaskevitch95,s6Ax0WdZp6IJ,117,60634,117_60634
conf/vldb/CatozziR95,8ftKLh07LM0J,121,17415,121_17415
journals/sigmod/Grohe02,jzwiskpRLOUJ,123,13572,123_13572
conf/vldb/Fecteau95,LhjvKpDcJKUJ,124,7407,124_7407
conf/vldb/Hallmark95,xTKZ6OuegIEJ,126,29458,126_29458
