
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid 	 sid 	 stitle 	 sauthor 	 svenue 	 syear 	 srowid 
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02c	book review column	aberer	sigmod record	2002	2599	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
fuzzy_threshold=90
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid 	 sid 	 stitle 	 sauthor 	 svenue 	 syear 	 srowid 
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64	url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
