
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
journals/sigmod/EisenbergM02	sqlxml make good progress	eisenberg melton	sigmod record	2002	2
wgK6p4mDSIMJ	sqlxml make good progress	eisenberg melton	"sigmod record,"	2002	63690
conf/vldb/AmmannJR95	use formal method reason semanticsbas decomposit transact	ammann jajodia ray	vldb	1995	3
x-H7BqZ0Hw8J	use formal method reason semanticsbas decomposit transact	ammann jajodia ray	"proceedings of the international conference on very large  &hellip;,"	1995	21171
conf/vldb/SubietaKL95	procedur objectori queri languag	subieta kambayashi leszczylowski	vldb	1995	7
gEFY87Ma0XUJ	procedur objectori queri languag	subieta kambayashi leszczylowski	"proceedings of the international conference on very large  &hellip;,"	1995	38991
journals/sigmod/BargaL02	phoenix project faulttoler applic	barga lomet	sigmod record	2002	8
QTzV3iNq2O8J	phoenix project faulttoler applic	barga lomet	"sigmod record,"	2002	40746
conf/vldb/ChaudhuriGS95	retriev composit multimedia object	chaudhuri ghandeharizadeh shahabi	vldb	1995	12
77Sb5mlyASgJ	retriev composit multimedia object	chaudhuri ghandeharizadeh shahabi	"proceedings of the 21th international conference on very  &hellip;,"	1995	46614
journals/sigmod/Kosch02	mpeg7 multimedia databas system	kosch	sigmod record	2002	13
_avm808LQocJ	mpeg7 multimedia databas system	kosch	"sigmod record,"	2002	27627
conf/vldb/LuTD95	fittest surviv adapt approach queri optim	tan dao	vldb	1995	14
qX-uYKXVk7EJ	fittest surviv adapt approach queri optim	tan dao	"proceedings of the international conference on very large  &hellip;,"	1995	49866
conf/vldb/TreschPL95	type classif semistructur document	tresch palmer luniewski	vldb	1995	16
1rPUqMFsS3AJ	type classif semistructur document	tresch palmer luniewski	"proceedings of the international conference on very large  &hellip;,"	1995	3179
conf/vldb/SrikantA95	mine gener associ rule	srikant agrawal	vldb	1995	20
Ve-JH2yNN0kJ	mine gener associ rule	srikant agrawal		1995	5058
conf/vldb/HaasNSS95	samplingbas estim number distinct valu attribut	haas naughton seshadri stokes	vldb	1995	21
x70Y3qaTL40J	samplingbas estim number distinct valu attribut	haas naughton seshadri stokes	"vldb,"	1995	14199
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/vldb/FlodinR95	process objectori queri invert late bound function	flodin risch	vldb	1995	23
